setting,policy,metric,mean,std,seeds
noisy,schema_match,decision_accuracy,0.7462000000000001,0.0031144823004794703,5
noisy,schema_match,cost_per_success,0.1843861668548311,0.001503907180619474,5
noisy,schema_match,unsafe_rate,0.0,0.0,5
noisy,schema_match,mean_latency_ms,33.2365,0.44004119125372865,5
noisy,schema_match,mean_excess_access,0.0,0.0,5
noisy,schema_match,ess,181.3477738446258,9.851126503454573,5
noisy,schema_match,dr_absolute_error,0.02328804807389038,0.01566788743531265,5
noisy,rules,utility,0.496954,0.01082185514364337,5
noisy,rules,coverage,0.5938,0.011919521802488548,5
noisy,rules,success_all_tasks,0.5467000000000001,0.012442869443982778,5
noisy,rules,success_on_executed,0.9206455902179691,0.004233955867536442,5
noisy,rules,decision_accuracy,0.8983000000000001,0.007989055012953678,5
noisy,rules,cost_per_success,0.05917628034704424,0.001400202209325967,5
noisy,rules,unsafe_rate,0.008700000000000001,0.0018234582528810469,5
noisy,rules,mean_latency_ms,10.965499999999999,0.2761052788339982,5
noisy,rules,mean_excess_access,0.0,0.0,5
noisy,rules,ess,271.1777100552072,4.632726287653414,5
noisy,rules,dr_absolute_error,0.009686711608115073,0.01343202466715116,5
noisy,direct,utility,0.5118205,0.007174979834466421,5
noisy,direct,coverage,0.7307,0.017013230145977564,5
noisy,direct,success_all_tasks,0.5777,0.008934483756770747,5
noisy,direct,success_on_executed,0.7908257143339974,0.015144147524388332,5
noisy,direct,decision_accuracy,0.8379,0.012546911970680275,5
noisy,direct,cost_per_success,0.09492978544523578,0.004972679914104558,5
noisy,direct,unsafe_rate,0.005,0.0032596012026013246,5
noisy,direct,mean_latency_ms,18.0422,1.0006070407507626,5
noisy,direct,mean_excess_access,0.0206,0.009208691546577072,5
noisy,direct,ess,234.33049254325724,1.3299108188183673,5
noisy,direct,dr_absolute_error,0.013615907387878268,0.010644904485576062,5
noisy,ips,utility,0.47653599999999996,0.025535614810495547,5
noisy,ips,coverage,0.7586,0.011765415419780113,5
noisy,ips,success_all_tasks,0.5740999999999999,0.0161260658562465,5
noisy,ips,success_on_executed,0.756920852300962,0.02395106602225375,5
noisy,ips,decision_accuracy,0.8119999999999999,0.01947434209415046,5
noisy,ips,cost_per_success,0.11268707356521976,0.005453452324976682,5
noisy,ips,unsafe_rate,0.0142,0.008393449827097318,5
noisy,ips,mean_latency_ms,21.2219,1.1493410829688457,5
noisy,ips,mean_excess_access,0.08920000000000002,0.03854477915360263,5
noisy,ips,ess,216.32138724210844,15.896356830010754,5
noisy,ips,dr_absolute_error,0.011315757691127382,0.0037975461190470155,5
noisy,dr,utility,0.502737,0.010394533779828734,5
noisy,dr,coverage,0.7407999999999999,0.010287127879053509,5
noisy,dr,success_all_tasks,0.5786,0.009229030284921634,5
noisy,dr,success_on_executed,0.7811239758049151,0.013611113852509482,5
